Film	Person	Role	Reported fee (₹ Cr)	Notes
Dhurandhar	Ranveer Singh	Lead (Hamza Ali Mazari)	50	Reported fee around ₹50 Cr for Part 1; also cited as franchise fee across duology in some reports.
Dhurandhar	Sanjay Dutt	Key support	8	Approximate figure from budget breakdown post.
Dhurandhar	R. Madhavan	Key support	9	Approximate figure from budget breakdown post.
Dhurandhar	Akshaye Khanna	Key support	3	Approximate figure from budget breakdown post.
Dhurandhar	Arjun Rampal	Antagonist	1	Approximate figure from budget breakdown post.
Dhurandhar: The Revenge	Ranveer Singh	Lead (Jaskirat / Hamza)	50	Multiple reports converge on ~₹50 Cr for the sequel as well.
Dhurandhar: The Revenge	Sara Arjun	Female lead	1	Reported fee about ₹1 Cr.
Dhurandhar: The Revenge	Sanjay Dutt	Key support	10	Reported fee about ₹10 Cr.
Dhurandhar: The Revenge	R. Madhavan	Key support	9	Reported fee about ₹9 Cr.
Dhurandhar: The Revenge	Arjun Rampal	Antagonist	1	Reported fee about ₹1 Cr.
